ID	Tweet	Affect Dimension	Intensity Class
2018-Es-02838	Soy muy afortunada de tener a mi familia hobbit	valence	2: se infiere un estado emocional moderadamente positivo
2018-Es-02255	"No creo en el pesimismo. Si las cosas no salieron como lo esperabas, sigue adelante. Si te empeñas lo consigues". Clint Eastwood	valence	0: se infiere un estado emocional neutral or mixto
2018-Es-02000	Me tienen sin internet y sin tvporcable por culpa d unas obras. 9am y veo bobesponja por clantv #graciasmovistar por la rapidez #ironia	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-06368	@Corakoraa @TribunalCJ ira a la basura.una pena perder tiempo en ir a la  justicia burguesa	valence	-3: se infiere un estado emocional muy negativo
2018-Es-03451	Viste cuando estas ansioso para que salga él tema Mirame y se te hace eterno bueno así! @MaxiKilates @DakosMusic	valence	0: se infiere un estado emocional neutral or mixto
2018-Es-04429	@YoSoyAlita Amiga sería mega genial que puedas ir a ese lugar el 26!🙈🙊, esperemos que si se cumpla tu deseo!😉	valence	3: se infiere un estado emocional muy positivo
2018-Es-04010	Estoy tan ansiosa que mis uñas desaparecieron jaaaaj	valence	1: se infiere un estado emocional ligeramente positivo
2018-Es-04957	me siento muy frustrado conmigo mismo: me siento ansioso	valence	-3: se infiere un estado emocional muy negativo
2018-Es-05073	Y yo, lo único que quería es que lucharás por mi, por nosotros 	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-00410	A las 8 me tengo que levantar y no puedo dormir 	valence	-1: se infiere un estado emocional ligeramente negativo
2018-Es-03205	Tengo tanto miedo a perderte, que prefiero morirme ahora para no perderte nunca. 	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-02261	@AmorAlArte_ No nada, ya habíamos quedado en algo y usted ya perdió JAJAJAJAJAAJAJAJAJAJA	valence	0: se infiere un estado emocional neutral or mixto
2018-Es-05897	Se multará con hasta 300.000 euros a los que presidan las mesas electorales el día 1-O. Viva la democracia... #ironía #votarem #referèndum	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-00063	brillito me salvo de un momento de desesperación como la amo	valence	1: se infiere un estado emocional ligeramente positivo
2018-Es-05898	-Mi amiga de la ibero que siempre me visita cuando estoy triste en León. Te quiero un buen amo la vibra y la alegría que siempre transmites.	valence	2: se infiere un estado emocional moderadamente positivo
2018-Es-06230	Que finde tan largo y tan lindo 😊	valence	3: se infiere un estado emocional muy positivo
2018-Es-05265	@A3Noticias Que bien se lo pasan en Cataluña!! El pais k yo quiero!!! #ironía	valence	-1: se infiere un estado emocional ligeramente negativo
2018-Es-02794	Nada más triste que no tener a quien dedicarle tus goles.	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-03892	me acaban de ofrecer un vaso de orina, mi suerte está cambiando  #CD9 #Coders #AlonsoVillalpandoTrendy #KCAMexico	valence	-1: se infiere un estado emocional ligeramente negativo
2018-Es-04528	Es muy fuerte El otro día estaba escuchando Leave out all the rest, me pone tan melancólica esa canción  Que si la escucho ahora...	valence	-1: se infiere un estado emocional ligeramente negativo
2018-Es-06375	Dios me bendice todos los días si no aquien le debo mi gloria y fortuna 😇😇😇	valence	3: se infiere un estado emocional muy positivo
2018-Es-05686	@xsangrelatina Y las respuestas de la mina fueron súper agresivas, según ella porque es de color colo y lo hizo a propósito 	valence	-1: se infiere un estado emocional ligeramente negativo
2018-Es-02962	@_javiercardenas Con Otegui vitoreado como una ciudadano ejemplar por Barcelona. #sarcasmo	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-00955	En la comida canalizo todo, sea felicidad, tristeza, aburrimiento, bajon, ansiedad y todo lo que exista. No tengo solucion.	valence	-1: se infiere un estado emocional ligeramente negativo
2018-Es-03156	Evadirse del Problema Interior Provocado por la Personalidad no Es más que Avocarse hasta el Dolor, el Estrés,el Agobio o el Malestar.	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-06853	Mi sobrina sigue en cama. No ha comido en varias horas. Parece que la energía del cuerpo se le ha ido. La luz le molesta un poco. #tristeza	valence	-3: se infiere un estado emocional muy negativo
2018-Es-05354	@JSalazar9 Nah es entretenido sacarlo de sus casillas...	valence	0: se infiere un estado emocional neutral or mixto
2018-Es-06419	🎵 San Cristobal, San Francisco y mi San Andrés Xecul. yo te canto emocionado cuna de Atanasio Tzul.	valence	2: se infiere un estado emocional moderadamente positivo
2018-Es-05339	@juankfromchile En todo caso fue entretenida la conversación , buenas noches	valence	0: se infiere un estado emocional neutral or mixto
2018-Es-06775	7. Café oscuro. A la sombra parece negro, pero es café xD (Me doy cuenta de que repetí 5 dos veces, lel)	valence	1: se infiere un estado emocional ligeramente positivo
2018-Es-03705	Es ver eso y romper en llanto😟	valence	-3: se infiere un estado emocional muy negativo
2018-Es-00344	@samario2 @YFERLEYHR @petrogustavo Habla de Terrorismo y se esconde detrás de un nick falso, pobre Uribestia ardido	valence	-3: se infiere un estado emocional muy negativo
2018-Es-00607	Mañana es mi acto de graduación y no puedo dormir por la ansiedad.	valence	0: se infiere un estado emocional neutral or mixto
2018-Es-03726	@ToritaMyQueen @Valentin_Ass Eso lo hace más gracioso aún	valence	1: se infiere un estado emocional ligeramente positivo
2018-Es-03453	Hoy tuve la fortuna de conversar con dos amigos @pavidonavido @CronistaDelMame en la presentación del libro"vaga ambición "@AntonioOrtugno	valence	1: se infiere un estado emocional ligeramente positivo
2018-Es-05687	Iker tiene dormido todo el dia, nomas despierta a comer y con los ojos cerrados 	valence	0: se infiere un estado emocional neutral or mixto
2018-Es-02880	@VjRodil @tugorditafav Esto me dio mucha risa JAJAJA	valence	2: se infiere un estado emocional moderadamente positivo
2018-Es-06647	@letrasencilla Debes colocar las respectivas alarmas 6:00 am, 6:30am y 6:59 am 😅	valence	0: se infiere un estado emocional neutral or mixto
2018-Es-00149	Si me gusto la feria 😍	valence	2: se infiere un estado emocional moderadamente positivo
2018-Es-01300	Me quede dormida estudiando y me desperté a las 3:20 AM.  Adivinen quien tiene la perra al lado? Un miedo 	valence	-3: se infiere un estado emocional muy negativo
2018-Es-02800	@xBxnsheeAriel @LobaDxlDesierto @psychofhabit Pero ella es mala mami, muy muy mala * digo mirando a Corrida enfadada*	valence	-1: se infiere un estado emocional ligeramente negativo
2018-Es-01930	Ya no sabia que decirle. Menos mal que metí la excusa que me voy a dormir 	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-04606	@arcasmarc1 @PPopular @_virginiavargas Para qué hablar de derechos humanos, si con insultar basta no crees?	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-01881	Ir a su casa y ponerle una goliza en el FIFA: me siento entretenido(a)	valence	2: se infiere un estado emocional moderadamente positivo
2018-Es-02014	Tienen cada salida a veces estos pendejos q me hacen cagar de risa	valence	2: se infiere un estado emocional moderadamente positivo
2018-Es-02034	@jocelynmb_ Ya hubiera tumbado la puerta 	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-00015	Qué odio y desesperación estar tan lejos de Tito en este momento! Unas ganas de abrazarlo fuerte, mi sol😳.	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-00418	@Camila_Cabello @BrunoMars ESTOY ORGULLOSO DE Tİ ❤👏	valence	3: se infiere un estado emocional muy positivo
2018-Es-03114	El coño e su madre , tembló aquí en Caracas. En la castellana 	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-04157	Que ganas de tener mucha plata y tatuarme, comprarme ropa y muchas cocas y hamburguesas 	valence	0: se infiere un estado emocional neutral or mixto
2018-Es-06828	@hermanntertsch La furia de Yavé cayó sobre ellos :)	valence	-1: se infiere un estado emocional ligeramente negativo
2018-Es-01418	Mi huerta necesita agua con desesperación y yo me duermo.	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-06656	Sonreír a pesar de todas las cosas que pasen es de valientes	valence	0: se infiere un estado emocional neutral or mixto
2018-Es-04562	El pueblo le pasa por ensima a la mud y sin conducción este espiral de violencia se volverá muerte y mas muerte lamentablemente	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-03233	Cuando tenía 16 , veía a los de 25 como mayores , súper mayores , meeeega mayores ! 😆 ay papá!	valence	1: se infiere un estado emocional ligeramente positivo
2018-Es-02932	Quiero ser la parte divertida de tu libro.	valence	1: se infiere un estado emocional ligeramente positivo
2018-Es-06653	Hoy me dispongo a ver el partido para distraerme de la depresión de no haber ido al MAT🙂🙂	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-03336	@estevograndal @DDominguez_10 @carlosbertalo_ El palo  no va a funcionar subnormal😤	valence	-1: se infiere un estado emocional ligeramente negativo
2018-Es-05701	Me cago de risa viendo vídeos de @Rubeooh 😂😍	valence	3: se infiere un estado emocional muy positivo
2018-Es-02010	Te siento en carne viva ,me desperté llorando y supe ,supe que hoy volvías	valence	-1: se infiere un estado emocional ligeramente negativo
2018-Es-04533	Es muy fácil sonreír  y filosofar cuando es otro el que esta echo mierda	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-05062	@unacrisparra @almendra_78 Pues yo en su casa we 	valence	-1: se infiere un estado emocional ligeramente negativo
2018-Es-04172	Tengo tremendas ganas de salir a caminar ahora pa sacarme un poco la decepción y el enojo y pensar bien q voy a hacer	valence	-3: se infiere un estado emocional muy negativo
2018-Es-01048	really paula chaves es una de las mejores modelos de arg con esa walk? lamentable	valence	-1: se infiere un estado emocional ligeramente negativo
2018-Es-01791	Hoy que estoy ansiosa a la gente le da con  joder🤦🏾‍♀️	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-06323	@ricardoy337 Que fome. Pero nose porque me reí igual 	valence	0: se infiere un estado emocional neutral or mixto
2018-Es-04421	@jimeramirez0109 Si por dicha ❤	valence	1: se infiere un estado emocional ligeramente positivo
2018-Es-02433	Mejor Dime Que Me Extrañas! 🙁	valence	-1: se infiere un estado emocional ligeramente negativo
2018-Es-06496	Voy a contener mi rabia contra los que bancan a miss bolivia	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-03159	Si eres tranquilo y confiado, o miedoso y con baja autoestima, depende de la dopamina (hormona del placer).	valence	-1: se infiere un estado emocional ligeramente negativo
2018-Es-00844	#DeColombiaMeGusta la cultura, la alegría y las mujeres.	valence	0: se infiere un estado emocional neutral or mixto
2018-Es-02850	Ante última alarma 👐😍 #LaFelicidaaaat	valence	2: se infiere un estado emocional moderadamente positivo
2018-Es-01357	Que indignación le tengo al chabón que me dijo prostituta por llevar puesto un cancán calado. La puta que te parió. Ni que fuera de red man.	valence	-3: se infiere un estado emocional muy negativo
2018-Es-02801	Estoy totalmente indignada con lo que me acaba de decir este chico	valence	-3: se infiere un estado emocional muy negativo
2018-Es-06252	@armando_bubu @CNNEE Ya decia yo. Era el sospechoso principal. Jajajaja	valence	1: se infiere un estado emocional ligeramente positivo
2018-Es-04433	@_itsdesconocida Lo se , eso es lo importante jajajaja 	valence	2: se infiere un estado emocional moderadamente positivo
2018-Es-02764	Extraño sentir sus manitos en mi cara, su risa, TODO 😭👶💕	valence	-1: se infiere un estado emocional ligeramente negativo
2018-Es-03911	Qué onda sonreír y que los cachetes te tapen la mitad del ojo?	valence	1: se infiere un estado emocional ligeramente positivo
2018-Es-01345	@MexicanCodersMX Ya me había emocionado  #CD9 #Coders #AlonsoVillalpandoTrendy #HarryStyles #KCAMexico	valence	1: se infiere un estado emocional ligeramente positivo
2018-Es-04469	@LaPauHC @lily_v13 Soy taaaaaaan chistoso. ¿Verdad?	valence	1: se infiere un estado emocional ligeramente positivo
2018-Es-00047	En la línea borbónica, haciendo las cosas bien #ironía #deguatemalaaguatepeor #IIIRepublica #rajoydimision #felipeVI #elpacificador	valence	0: se infiere un estado emocional neutral or mixto
2018-Es-00088	Cumplir un festivo no es nada cool amigos.	valence	-1: se infiere un estado emocional ligeramente negativo
2018-Es-01316	10-A veces escribo en mayúscula para demostrar que estoy emocionado.	valence	0: se infiere un estado emocional neutral or mixto
2018-Es-05985	¿Sabéis el pulpo de buscando a Dory? ¿Recordáid que le faltaba un tentáculo y que vivía totalmente amargado y resentido?	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-02098	"Quien tributa en tu país ayuda a mejorar tu bienestar" Eso ponía en un taxi. Qué mal se defienden.	valence	-1: se infiere un estado emocional ligeramente negativo
2018-Es-03902	Ultima semana de mes..🙌💪👏 #BuenInicioDeSemana #MuchaTranquilidad #Felicidad	valence	3: se infiere un estado emocional muy positivo
2018-Es-01117	Ches mamadas que digo Mi cerebro procesa pendejadas a nivel industrial y cantidades inifinitas a cada segundo 	valence	-1: se infiere un estado emocional ligeramente negativo
2018-Es-04349	🙏 dios esta conmigo 😞💔: me siento deprimida	valence	-3: se infiere un estado emocional muy negativo
2018-Es-02737	Estoy entre "quiero ahorrar dinero"💵 y "solo se vive una vez".👀✌😉#Sarcástica🌺 #SabadoDeGanarSeguidores 🙌 #SiguemeYTeSigo👌	valence	0: se infiere un estado emocional neutral or mixto
2018-Es-02783	No pagues mas karaoke con animación luces pantallas humo y toda la diversión Separa tu fecha 9811864230	valence	0: se infiere un estado emocional neutral or mixto
2018-Es-01246	Encima se enojo vieron es más tonto	valence	-3: se infiere un estado emocional muy negativo
2018-Es-01597	@armijo_victor JAJAJAJAJAJAJAJAJAJ Chtm, me refería a depresión wey ☹️	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-04353	Mis amigos lo son todo, ojalá nunca me falten. ¡Feliz día! Los amo ❤️	valence	3: se infiere un estado emocional muy positivo
2018-Es-02048	La Copa Oro se juega todos los días de todos los años desde que existe el futbol	valence	0: se infiere un estado emocional neutral or mixto
2018-Es-03231	Estaba buscando fotos y encontre unas de un xv con Manu cuando recien nos conociamos era re amargo Manuel. Hasta encontre fotos con Agustin😂	valence	2: se infiere un estado emocional moderadamente positivo
2018-Es-00025	@SEAT_Mexico Valdrá la pena después de  60 días de lo sucedido ?? Lo hecho, hecho está	valence	-1: se infiere un estado emocional ligeramente negativo
2018-Es-05978	"Hasta el hueso" una de las pelis que quería que durará más 	valence	0: se infiere un estado emocional neutral or mixto
2018-Es-00745	Lo único que me esta saliendo bien este año es engordar 	valence	-1: se infiere un estado emocional ligeramente negativo
2018-Es-00644	Que gil fui en no comprar las entradas para ir a ver a ciro 	valence	-1: se infiere un estado emocional ligeramente negativo
2018-Es-04455	¿POR QUÉ LA ESCENA DE LILY DISFRAZADA DE BALLENA EN EL APARTAMENTO VACÍO ME HIZO LLORAR TANTO? AHHH	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-04221	@ElmemoV Alabado sea el descuento jajajaj 	valence	2: se infiere un estado emocional moderadamente positivo
2018-Es-02501	@Anitaprr Lo que pasa es que el toque de bruja nadie nos lo quita 	valence	1: se infiere un estado emocional ligeramente positivo
2018-Es-00628	EL GATO EN SU CONDICION ; CREE QUE TOD@S SON IGUALES .. A EL / ELLA .. #SARCASMO #REAL	valence	-3: se infiere un estado emocional muy negativo
2018-Es-01434	Como es que a la facu llego una hora después y para el teaser despierto mágicamente sin alarma y justo a tiempo?   #BAMA2017_EXO	valence	0: se infiere un estado emocional neutral or mixto
2018-Es-06332	@EPN Estás a 1 minuto de llegar a Chiapas, Bueno a menos.. a 5.  Ay Peñitaaaaa 	valence	-1: se infiere un estado emocional ligeramente negativo
2018-Es-00858	@AnitaBotwin Porque claro, esta gente son una grandísima banda peligrosa que maneja artefactos explosivos chungos. #Ironía	valence	-3: se infiere un estado emocional muy negativo
2018-Es-06448	Hoy te das cuenta quien si se acuerda de vos y quien no, que agradable de día	valence	1: se infiere un estado emocional ligeramente positivo
2018-Es-01373	@paspadita Dale, lo vicho! Muchas gracias!! 😊	valence	3: se infiere un estado emocional muy positivo
2018-Es-00480	Pensando fríamente él wall no me gusto 😕	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-04679	@abi_quesada @AleVarela08 Tan violenta 	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-06705	@Azulinca Recordarle que solo es una película así me calmaron a mi jaja :( 😅	valence	1: se infiere un estado emocional ligeramente positivo
2018-Es-05139	@KevenYHensy Hasta Yo Estoy Orgullosa😍	valence	3: se infiere un estado emocional muy positivo
2018-Es-04960	WOW HAN VISTO A PIQUÉ VOTANDO. COMO SE LE OCURRE VOTAR. FUERA DE LA SELECCIÓN ESPAÑOLA. (#ironía)	valence	-1: se infiere un estado emocional ligeramente negativo
2018-Es-06134	@luciashan_poo Tómese una pastilla 😃	valence	2: se infiere un estado emocional moderadamente positivo
2018-Es-01879	@_itsdesconocida Pues si pero porque cambias de tema disimuladamente 😑 	valence	-1: se infiere un estado emocional ligeramente negativo
2018-Es-06685	Ahora se viene la mejor parte de Encantada lpm✨✨✨✨	valence	3: se infiere un estado emocional muy positivo
2018-Es-04691	"Grandes cosas ha hecho el Señor con nosotros;  Estamos alegres." #Salmo 126:3 #ConfidenteEspiritual  #Alegría #Espiritualidad	valence	3: se infiere un estado emocional muy positivo
2018-Es-06458	No hay cosa que me alegre más el día que ir guiando y ver un perrito en la ventana otro carro jugando con el viento :')	valence	3: se infiere un estado emocional muy positivo
2018-Es-01391	Cuando estás enfadado con alguien, esa persona ocupa el 80% de tus pensamientos.	valence	-3: se infiere un estado emocional muy negativo
2018-Es-00429	Detesto que me consuelen "por pesar"	valence	-3: se infiere un estado emocional muy negativo
2018-Es-02866	que asco la gente que esta tweeteando canciones de linkin park para sacar un par de rts, me parece desagradable.	valence	-3: se infiere un estado emocional muy negativo
2018-Es-00086	@nico_gomes22 Asi que andas nerviosa ehh? Ajajaj	valence	0: se infiere un estado emocional neutral or mixto
2018-Es-04689	@DimeChampy JAJAJA, ahora si me hiciste reír 	valence	3: se infiere un estado emocional muy positivo
2018-Es-02103	@_stf1006 @Tota_Reloaded Igualito 	valence	0: se infiere un estado emocional neutral or mixto
2018-Es-00066	Mi entretenimiento a esta hora es ver maria de todos los angeles je	valence	1: se infiere un estado emocional ligeramente positivo
2018-Es-05595	@bahia_mall En @ElAlbanBorja no hay ñengosos!!! 	valence	-1: se infiere un estado emocional ligeramente negativo
2018-Es-04900	@Chocu_ Chocu, tienes que poner el hashtag #ironía o #broma porque si no la gente se podría ofender y tomárselo de manera literal.	valence	0: se infiere un estado emocional neutral or mixto
2018-Es-06781	Aaaaah... Me encanta el olor a dióxido de nitrógeno por la mañana. #ironía #escenario1	valence	0: se infiere un estado emocional neutral or mixto
2018-Es-00273	Quizás antes de provocar linchamientos públicos podríais buscar algo más de fundamento que el "me lo dijo no se quién".	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-03152	@vannemagic Ah! Pues si... 	valence	0: se infiere un estado emocional neutral or mixto
2018-Es-01213	@Hadi7697873 @Me__Ayesha Ni to 😀	valence	1: se infiere un estado emocional ligeramente positivo
2018-Es-05930	mi tristeza, mi locura, mi refugio	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-03529	@jareba1955 Gracias, buenas noches Jaime 	valence	1: se infiere un estado emocional ligeramente positivo
2018-Es-05402	@noemtzi Me caga la lluvia en las noches, me da miedo bye.	valence	-3: se infiere un estado emocional muy negativo
2018-Es-02454	@Karinabarbosa kari? Te refieres a . .  "orco" el de la serie animada . . . . . He-Man?	valence	1: se infiere un estado emocional ligeramente positivo
2018-Es-01377	@CONCHETUNlALL En serio? Ooooh wn que bacán 😘😘 deberías ser mi ibf ya que la dafne es más lenta pa responder que la chucha	valence	2: se infiere un estado emocional moderadamente positivo
2018-Es-06059	@mandilu9026 @cindysanr Si es Belinda no importa eh 😅	valence	2: se infiere un estado emocional moderadamente positivo
2018-Es-05015	Cosquin, Tandil, Tucuman, Jujuy y Salta. Y todavia falta V. Gral Belgrano y Cataratas 😍 Creo que este  fue el año que mas viaje #felicidad	valence	2: se infiere un estado emocional moderadamente positivo
2018-Es-03937	@NanaBlurl Como asturiana postiza estoy: indignada.	valence	-3: se infiere un estado emocional muy negativo
2018-Es-04659	Me va a dar algo si sigo tan nerviosa	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-05690	Pero me aguanté y me intenté volver a dormir y me levanté como a las 6/6:30, y ahora estoy cansado y furioso	valence	-3: se infiere un estado emocional muy negativo
2018-Es-02579	Hay quienes ante el peligro se crecen.	valence	0: se infiere un estado emocional neutral or mixto
2018-Es-02406	@CaffeinatedDr Jajaja don Ale va a estar tan feliz que va a dejarme andar en Keds 	valence	2: se infiere un estado emocional moderadamente positivo
